,lg,rest,depth,store_loc,store_status,rtv_loc,rtv_status
_2_35,4340,1660,2,1m5,EMPTY,,
_2_36,4380,1620,2,1m5,EMPTY,,
_2_37,4415,1585,2,1m5,EMPTY,,
_2_38,4560,1440,2,1m0,EMPTY,,
_2_39,4585,1415,2,1m0,EMPTY,,
_2_40,4880,1120,2,1m0,EMPTY,,
_2_41,4935,1065,2,1m0,EMPTY,,
_2_42,4985,1015,2,1m0,EMPTY,,
_2_43,5025,975,2,,,,
_2_44,5135,865,2,,,,
_2_45,5165,835,2,,,,
_2_46,5165,835,2,,,,
_2_47,5210,790,2,,,,
_2_48,5210,790,2,,,,
_2_49,5260,740,2,,,,
_2_50,5325,675,2,,,,
_2_51,5335,665,2,,,,
_2_52,5440,560,2,,,,
_2_53,5495,505,2,,,,
_2_54,5530,470,2,,,,
_2_55,5530,470,2,,,,
_2_56,5535,465,2,,,,
_2_57,5555,445,2,,,,
_2_58,5555,445,2,,,,
_2_59,5570,430,2,,,,
_2_60,5570,430,2,,,,
_2_61,5570,430,2,,,,
_2_62,5615,385,2,,,,
_2_63,5705,295,2,,,,
_2_64,5715,285,2,,,,
_2_65,5800,200,2,,,,
_2_66,5860,140,2,,,,
_2_67,5860,140,2,,,,
_2_68,5860,140,2,,,,
_2_69,5860,140,2,,,,
_2_70,5860,140,2,,,,
_2_71,5860,140,2,,,,
_2_72,5860,140,2,,,,
_2_73,5860,140,2,,,,
_2_74,5860,140,2,,,,
_3_4,1960,4040,2,,,2m0,EMPTY
_3_5,1960,4040,2,,,2m0,EMPTY
_3_6,1960,4040,2,,,2m0,EMPTY
_3_7,1980,4020,2,,,2m0,EMPTY
_3_8,2060,3940,2,3m5,EMPTY,2m5,EMPTY
_3_9,2285,3715,2,3m5,EMPTY,2m5,EMPTY
_10_3,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_11_3,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_12_3,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_13_3,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_14_3,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_15_3,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_16_3,2440,3560,2,3m5,EMPTY,2m5,EMPTY
_17_3,2595,3405,2,3m0,EMPTY,3m0,EMPTY
_18_3,2605,3395,2,3m0,EMPTY,3m0,EMPTY
_19_3,2720,3280,2,3m0,EMPTY,3m0,EMPTY
