mini,maxi,qtt,status,name,day,seq_name
3000,3250,0,EMPTY,3m0,8,SS
3250,3500,1,CRIT_EMPTY,3m25,8,SS
3500,3750,0,EMPTY,3m5,8,SS
3750,4000,0,EMPTY,3m75,8,SS
1000,1500,8,OPEN,1m0,9,8m
1500,2000,0,EMPTY,1m5,9,8m
2000,2500,0,EMPTY,2m0,9,8m
2500,3000,8,OPEN,2m5,9,8m
3000,3500,8,OPEN,3m0,9,8m
3500,4000,4,CRIT_EMPTY,3m5,9,8m
1000,1500,25,FULL,1m0,9,7m
1500,2000,13,OPEN,1m5,9,7m
2000,2500,7,OPEN,2m0,9,7m
2500,3000,14,OPEN,2m5,9,7m
3000,3500,16,OPEN,3m0,9,7m
3500,4000,2,CRIT_EMPTY,3m5,9,7m
1000,1500,25,FULL,1m0,9,6m
1500,2000,7,OPEN,1m5,9,6m
2000,2500,16,OPEN,2m0,9,6m
2500,3000,1,CRIT_EMPTY,2m5,9,6m
3000,3500,1,CRIT_EMPTY,3m0,9,6m
3500,4000,1,CRIT_EMPTY,3m5,9,6m
1000,1250,10,FULL,1m0,9,SS
1250,1500,7,OPEN,1m25,9,SS
1500,1750,8,OPEN,1m5,9,SS
1750,2000,2,OPEN,1m75,9,SS
2000,2250,7,OPEN,2m0,9,SS
2250,2500,10,FULL,2m25,9,SS
2500,2750,2,OPEN,2m5,9,SS
2750,3000,0,EMPTY,2m75,9,SS
3000,3250,1,CRIT_EMPTY,3m0,9,SS
3250,3500,0,EMPTY,3m25,9,SS
3500,3750,0,EMPTY,3m5,9,SS
3750,4000,0,EMPTY,3m75,9,SS
1000,1500,9,OPEN,1m0,10,8m
1500,2000,0,EMPTY,1m5,10,8m
2000,2500,2,CRIT_EMPTY,2m0,10,8m
2500,3000,4,CRIT_EMPTY,2m5,10,8m
3000,3500,7,OPEN,3m0,10,8m
3500,4000,0,EMPTY,3m5,10,8m
1000,1500,25,FULL,1m0,10,7m
1500,2000,7,OPEN,1m5,10,7m
2000,2500,12,OPEN,2m0,10,7m
2500,3000,13,OPEN,2m5,10,7m
3000,3500,12,OPEN,3m0,10,7m
3500,4000,0,EMPTY,3m5,10,7m
1000,1500,25,FULL,1m0,10,6m
1500,2000,2,CRIT_EMPTY,1m5,10,6m
2000,2500,17,OPEN,2m0,10,6m
2500,3000,1,CRIT_EMPTY,2m5,10,6m
3000,3500,3,CRIT_EMPTY,3m0,10,6m
3500,4000,1,CRIT_EMPTY,3m5,10,6m
1000,1250,10,FULL,1m0,10,SS
1250,1500,7,OPEN,1m25,10,SS
1500,1750,7,OPEN,1m5,10,SS
1750,2000,4,OPEN,1m75,10,SS
2000,2250,8,OPEN,2m0,10,SS
2250,2500,9,CRIT_FULL,2m25,10,SS
2500,2750,2,OPEN,2m5,10,SS
2750,3000,1,CRIT_EMPTY,2m75,10,SS
3000,3250,1,CRIT_EMPTY,3m0,10,SS
3250,3500,2,OPEN,3m25,10,SS
3500,3750,0,EMPTY,3m5,10,SS
3750,4000,0,EMPTY,3m75,10,SS
1000,1500,7,OPEN,1m0,11,8m
1500,2000,1,CRIT_EMPTY,1m5,11,8m
2000,2500,0,EMPTY,2m0,11,8m
2500,3000,6,OPEN,2m5,11,8m
3000,3500,3,CRIT_EMPTY,3m0,11,8m
3500,4000,1,CRIT_EMPTY,3m5,11,8m
1000,1500,23,CRIT_FULL,1m0,11,7m
1500,2000,9,OPEN,1m5,11,7m
2000,2500,15,OPEN,2m0,11,7m
2500,3000,15,OPEN,2m5,11,7m
3000,3500,7,OPEN,3m0,11,7m
3500,4000,3,CRIT_EMPTY,3m5,11,7m
1000,1500,25,FULL,1m0,11,6m
1500,2000,4,CRIT_EMPTY,1m5,11,6m
2000,2500,17,OPEN,2m0,11,6m
2500,3000,2,CRIT_EMPTY,2m5,11,6m
3000,3500,1,CRIT_EMPTY,3m0,11,6m
3500,4000,0,EMPTY,3m5,11,6m
1000,1250,9,CRIT_FULL,1m0,11,SS
1250,1500,8,OPEN,1m25,11,SS
1500,1750,7,OPEN,1m5,11,SS
1750,2000,7,OPEN,1m75,11,SS
2000,2250,7,OPEN,2m0,11,SS
2250,2500,10,FULL,2m25,11,SS
2500,2750,1,CRIT_EMPTY,2m5,11,SS
2750,3000,0,EMPTY,2m75,11,SS
3000,3250,1,CRIT_EMPTY,3m0,11,SS
3250,3500,2,OPEN,3m25,11,SS
3500,3750,0,EMPTY,3m5,11,SS
3750,4000,0,EMPTY,3m75,11,SS
1000,1500,7,OPEN,1m0,12,8m
